Token_ID_Greek,Token_Greek,Gospel,Token_ID_Armenian,Token_Armenian,Function,comment,Location,Greek_found,Armenian_found,where_found
350533.0,ἀλλ’,JOHN,807789.0,aył,ADVER,,9.3,1,1,both_langs
351121.0,ἀλλ’,JOHN,,,ADVER,,9.31,1,0,only_Gr
321103.0,ἀλλὰ,LUKE,735873.0,aył,SUBST,in dialogue,1.60,1,1,both_langs
,,LUKE,744040.0,ayl,SUBST,,10.20,0,1,only_Arm
,,LUKE,744821.0,ayłkʻ,UNID,,11.16,0,1,only_Arm
,,LUKE,794791.0,aył,UNID,,11.26,0,1,only_Arm
331059.0,ἀλλ’,LUKE,795020.0,aył,SUBST,,11.33,1,1,both_langs
331226.0,ἀλλὰ,LUKE,745325.0,Aył,ADVER,,11.42,1,1,both_langs
,,LUKE,795439.0,Aył,ADVER,like topic shift,12.11,0,1,only_Arm
,,LUKE,795557.0,aylocʻ,UNID,,12.26,0,1,only_Arm
,,LUKE,746134.0,Aył,ADVER,"Greek de, mb topic reintro",12.30,0,1,only_Arm
,,LUKE,745669.0,Aył,ADVER,,12.5,0,1,only_Arm
332529.0,ἀλλ’,LUKE,746511.0,ayl,SUBST,,12.51,1,1,both_langs
331633.0,ἀλλὰ,LUKE,745707.0,aył,ADVER,like opp,12.7,1,1,both_langs
332748.0,ἀλλ’,LUKE,746697.0,aył,ADVER,,13.3,1,1,both_langs
333624.0,ἀλλ’,LUKE,747507.0,Aył,ADVER,topic shift,14.10,1,1,both_langs
333711.0,ἀλλ’,LUKE,747595.0,Aył,SUBST,,14.13,1,1,both_langs
,,LUKE,797948.0,aylowm,UNID,,14.31,0,1,only_Arm
,,LUKE,748001.0,aył,SUBST,,14.35,0,1,only_Arm
,,LUKE,798963.0,aył,ADVER,? Greek de kai,15.32,0,1,only_Arm
,,LUKE,748987.0,aył,UNID,,16.18,0,1,only_Arm
335462.0,ἀλλ’,LUKE,,,ADVER,,16.30,1,0,only_Gr
335640.0,ἀλλ’,LUKE,749382.0,aył,SUBST,,17.8,1,1,both_langs
,,LUKE,799407.0,ayls,UNID,,18.11,0,1,only_Arm
,,LUKE,750078.0,aył,SUBST,,18.12,0,1,only_Arm
336418.0,ἀλλ’,LUKE,799437.0,aył,SUBST,,18.13,1,1,both_langs
,,LUKE,750463.0,ayl,SUBST,but originally AND kai,18.34,0,1,only_Arm
,,LUKE,736762.0,aył,SUBST,but originally AND kai,2.37,0,1,only_Arm
338129.0,ἄλλοις,LUKE,751718.0,ayłocʻ,UNID,,20.16,1,1,both_langs
338256.0,ἀλλ’,LUKE,751838.0,aył,SUBST,,20.21,1,1,both_langs
,,LUKE,752061.0,Aył,ADVER,??,20.37,0,1,only_Arm
338522.0,ἀλλὰ,LUKE,752090.0,ayl,SUBST,,20.38,1,1,both_langs
,,LUKE,752511.0,Aył,ADVER,Greek de,21.20,0,1,only_Arm
338821.0,ἀλλ’,LUKE,752371.0,aył,ADVER,,21.9,1,1,both_langs
,,LUKE,753298.0,aył,ADVER,?,22.32,0,1,only_Arm
339929.0,ἀλλὰ,LUKE,753380.0,aył,ADVER,,22.36,1,1,both_langs
340063.0,ἀλλὰ,LUKE,753506.0,aył,SUBST,,22.42,1,1,both_langs
340258.0,ἀλλ’,LUKE,753689.0,aył,ADVER,,22.53,1,1,both_langs
,,LUKE,753769.0,aył,UNID,,22.58,0,1,only_Arm
340364.0,ἄλλος,LUKE,818845.0,aył,UNID,,22.59,1,1,both_langs
,,LUKE,753896.0,áyl,UNID,nice like INCR,22.65,0,1,only_Arm
,,LUKE,818995.0,aył,SUBST,,23.28,0,1,only_Arm
,,LUKE,754544.0,ayl,UNID,,23.32,0,1,only_Arm
341196.0,ἄλλους,LUKE,754610.0,ayls,UNID,,23.35,1,1,both_langs
,,LUKE,850023.0,aył,UNID,,24.1,0,1,only_Arm
,,LUKE,755109.0,áylkʻ,UNID,,24.10,0,1,only_Arm
341903.0,ἀλλά,LUKE,850080.0,Aył,ADVER,ew?,24.21,1,1,both_langs
341918.0,ἀλλὰ,LUKE,755335.0,Aył,ADVER,"ew, free",24.22,1,1,both_langs
341641.0,ἀλλὰ,LUKE,850049.0,aył,SUBST,,24.6,1,1,both_langs
,,LUKE,755097.0,aylócʻ,UNID,,24.9,0,1,only_Arm
,,LUKE,737378.0,áyl,UNID,,3.18,0,1,only_Arm
,,LUKE,785746.0,aył,SUBST,,4.4,0,1,only_Arm
,,LUKE,786820.0,aylocʻ,UNID,,4.43,0,1,only_Arm
324181.0,ἀλλὰ,LUKE,738790.0,aył,ADVER,,5.14,1,1,both_langs
,,LUKE,739002.0,Aył,ADVER,,5.24,0,1,only_Arm
324521.0,ἄλλων,LUKE,739118.0,aylócʻ,UNID,,5.29,1,1,both_langs
324567.0,ἀλλὰ,LUKE,739162.0,ayl,SUBST,,5.31,1,1,both_langs
324576.0,ἀλλὰ,LUKE,739169.0,aył,SUBST,good example,5.32,1,1,both_langs
324720.0,ἀλλὰ,LUKE,739294.0,aył,ADVER,,5.38,1,1,both_langs
325290.0,Ἀλλὰ,LUKE,739840.0,Ayl,ADVER,,6.27,1,1,both_langs
325327.0,ἄλλην,LUKE,,,UNID,,6.29,1,0,only_Gr
326210.0,ἄλλον,LUKE,791651.0,aylowm,UNID,,7.19,1,1,both_langs
326236.0,ἄλλον,LUKE,791661.0,aylowm,UNID,,7.20,1,1,both_langs
326325.0,ἀλλὰ,LUKE,740809.0,Aył,ADVER,,7.25,1,1,both_langs
326349.0,ἀλλὰ,LUKE,791744.0,Aył,ADVER,,7.26,1,1,both_langs
